ID,Locality,Assemblage,GeoLayer.Name,Country,Locality.Type,X,Y,Technocomplex,Geostrat..Info..age.min,Geostrat..Info..age.max,Geostrat..Info..correlation,Geostrat..Info..mis,NISP.Sum.class.Mammalia,NISP.Sum.order.Rodentia,NISP.Sum.family.Anatidae,Alces_NISP,Bison_NISP,Bos_NISP,Canis_NISP,Capra_NISP,Capreolus_NISP,Cervus_NISP,Coelodonta_NISP,Dama_NISP,Equus_NISP,Mammuthus_NISP,Megaloceros_NISP,Ovibos_NISP,Ovis_NISP,Palaeoloxodon_NISP,Rangifer_NISP,Saiga_NISP,Stephanorhinus_NISP,Sus_NISP,Ursus_NISP,Panthera_NISP,meanage,sdage,totalNISP,millie,RD_Suitability
8451,Pilanduk Cave,"Pilanduk Cave, Trench 3, Layer III, Fauna",Layer 2,Philippines,cave,118.0769702,9.2988771,,16720,20550,14C (radiocarbon) dating,NA,329,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08537,0,0.00305,20308,0.998920988,328,20000,NA
8452,Pilanduk Cave,"Pilanduk Cave, Trench 3, Layer IV, Fauna",Layer 3,Philippines,cave,118.0769702,9.2988771,,19410,20210,14C (radiocarbon) dating,NA,79,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23434,1,78,23000,NA
8453,Pilanduk Cave,"Pilanduk Cave, Layer I, Fauna",Layer 2,Philippines,cave,118.0769702,9.2988771,,16720,20550,14C (radiocarbon) dating,NA,58,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13793,0,0,20308,0.998920988,58,20000,NA
8454,Pilanduk Cave,"Pilanduk Cave, Layer II, Fauna",Layer 2,Philippines,cave,118.0769702,9.2988771,,16720,20550,14C (radiocarbon) dating,NA,17,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17647,0,0,20308,0.998920988,17,20000,NA
8455,Pilanduk Cave,"Pilanduk Cave, Layer III, Fauna",Layer 2,Philippines,cave,118.0769702,9.2988771,,16720,20550,14C (radiocarbon) dating,NA,44,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15909,0,0,20308,0.998920988,44,20000,NA
8456,Pilanduk Cave,"Pilanduk Cave, Layer IV, Fauna",Layer 3,Philippines,cave,118.0769702,9.2988771,,19410,20210,14C (radiocarbon) dating,NA,12,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23434,1,12,23000,NA
8524,Quneitra,"Quneitra, Fauna",Unit 3,Israel,open air,35.816278,33.128351,MP/ Mousterian - Levant,48000,59800,ESR (electron spin resonance) dating,3,99,0,NA,0,0,0.43434,0,0.0101,0,0.07071,0,0.08081,0.28283,0,0,0,0,0,0,0,0,0,0,0,53900,0.999999995,99,54000,NA
8529,Ranc Pointu 2,Ranc Pointu 2 Layer c fauna,Unit c1,France,cave,4.547894,44.322575,MP/ Mousterian - Eurasia,136000,154400,OSL (optically stimulated thermoluminescence) dating,6,9,1,NA,0,0,0,0,0,0,0.125,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,145200,0.999999999,8,145000,NA
8532,Ranc Pointu 2,Ranc Pointu 2 Layer c1 fauna,Unit c1,France,cave,4.547894,44.322575,MP/ Mousterian - Eurasia,136000,154400,OSL (optically stimulated thermoluminescence) dating,6,43,5,NA,0,0,0,0,0.15789,0.15789,0.13158,0,0.52632,0,0,0,0,0,0,0,0,0,0,0,0,145200,0.999999999,38,145000,NA
8562,Riparo Bombrini,Riparo Bombrini Layer A1 Fauna,Unit A1,Italy,cave,7.535117,43.783844,UP/ Proto-Aurignacian,36000,40000,"14C (radiocarbon) dating, geology (based on position of layers)",NA,70,0,NA,0,0.08571,0.07143,0,0.2,0.04286,0.14286,0,0.02857,0,0,0,0,0,0,0,0,0,0.1,0,0,36476,1,70,36000,NA
